sample_id,topology,source_count,active_layer_count,active_layer_power_W,topology_total_declared_source_area_m2,common_surface_power_density_W_m2,package_total_power_W,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,min_source_control_volume_count,min_source_in_plane_interval_count,in_30_80_K_window,solver_peak_minus_projected_peak_K
p1b_ss_p0p5,single_layer_single_source,1,1,"{""silicon_die_lower"": 0.5}",6.3999999999999997e-05,7812.5,0.5,0.0048810733701998288,0.0029838732045908397,0.0097621467403996576,0.00030697367594221332,0.99969302621781164,1.0624612301057823e-10,7.362455859430338e-16,7803,50,False,5.5214414942383883e-06
p1b_ss_p1,single_layer_single_source,1,1,"{""silicon_die_lower"": 1.0}",6.3999999999999997e-05,15625,1,0.0097621467434123588,0.0059677463974518218,0.0097621467434123588,0.00030697367519731157,0.99969302627072265,5.4080073752516e-11,7.1756554191184035e-16,7803,50,False,2.2977573109983496e-05
p1b_ss_p2,single_layer_single_source,1,1,"{""silicon_die_lower"": 2.0}",6.3999999999999997e-05,31250,2,0.019524293487734212,0.011935492783084317,0.0097621467438671061,0.00030697367482258566,0.99969302629468848,3.0488944702256049e-11,7.3615969481899524e-16,7803,50,False,3.2770453401553823e-05
p1b_ss_p4,single_layer_single_source,1,1,"{""silicon_die_lower"": 4.0}",6.3999999999999997e-05,62500,4,0.039048586977457944,0.023870985554493192,0.009762146744364486,0.00030697367463736051,0.9996930263124324,1.2930212456296886e-11,7.2468017526336471e-16,7803,50,False,3.8920091697036696e-05
p1b_sm_p0p5,single_layer_multi_source,4,1,"{""silicon_die_lower"": 0.5}",6.3999999999999997e-05,7812.5,0.49999999999999989,0.0050649307735852744,0.0029838732046580541,0.010129861547170551,0.00030697367595029529,0.99969302620902112,1.1502854224687556e-10,7.3412007542132102e-16,1875,24,False,5.5738045148245874e-06
p1b_sm_p1,single_layer_multi_source,4,1,"{""silicon_die_lower"": 1.0}",6.3999999999999997e-05,15625,0.99999999999999978,0.010129861546715802,0.0059677463974014446,0.010129861546715803,0.00030697367519458215,0.9996930262701289,5.4676485561344647e-11,7.2619757679982638e-16,1875,24,False,4.9603068532633188e-05
p1b_sm_p2,single_layer_multi_source,4,1,"{""silicon_die_lower"": 2.0}",6.3999999999999997e-05,31250,1.9999999999999996,0.020259723092692639,0.011935492783046965,0.010129861546346321,0.0003069736748215123,0.99969302629771795,2.7460589357986016e-11,7.2889795605526845e-16,1875,24,False,4.2158331723385345e-05
p1b_sm_p4,single_layer_multi_source,4,1,"{""silicon_die_lower"": 4.0}",6.3999999999999997e-05,62500,3.9999999999999991,0.040519446184646313,0.023870985554414009,0.01012986154616158,0.00030697367463623077,0.99969302631099077,1.437294727679728e-11,7.3220504945149024e-16,1875,24,False,0.00019367721881735633
p1b_df_p0p5,dual_layer_few_source,2,2,"{""silicon_die_lower"": 0.24999999999999994, ""silicon_die_upper"": 0.25}",6.3999999999999997e-05,7812.5,0.5,0.096723658902249099,0.039260740255028653,0.1934473178044982,0.0043976304437993927,0.99560236943710967,1.1909095931628144e-10,7.3058255694098966e-16,3978,25,False,4.4204553660165402e-05
p1b_df_p1,dual_layer_few_source,2,2,"{""silicon_die_lower"": 0.4999999999999999, ""silicon_die_upper"": 0.5}",6.3999999999999997e-05,15625,1,0.19344731779489166,0.078521480498233542,0.19344731779489166,0.0043976304430484213,0.99560236950609449,5.0857096312029171e-11,7.3142954046914881e-16,3978,25,False,4.8086153924487007e-05
p1b_df_p2,dual_layer_few_source,2,2,"{""silicon_die_lower"": 0.9999999999999998, ""silicon_die_upper"": 1.0}",6.3999999999999997e-05,31250,2,0.38689463558034731,0.15704296098470105,0.19344731779017366,0.0043976304426751826,0.9956023695301669,2.7157942561473192e-11,7.3710874209590481e-16,3978,25,False,0.0011481383390332667
p1b_df_p4,dual_layer_few_source,2,2,"{""silicon_die_lower"": 1.9999999999999996, ""silicon_die_upper"": 2.0}",6.3999999999999997e-05,62500,4,0.7737892711505765,0.31408592195756085,0.19344731778764412,0.0043976304424875072,0.99560236954358539,1.3927081710107814e-11,7.2035945565776567e-16,3978,25,False,0.0024983720117006669
p1b_dm_p0p5,dual_layer_multi_source,8,2,"{""silicon_die_lower"": 0.25, ""silicon_die_upper"": 0.25}",6.3999999999999997e-05,7812.5,0.5,0.094221057003949227,0.039260740255011937,0.18844211400789845,0.0043976304437971792,0.99560236944561842,1.1058443050160349e-10,7.2370894403086709e-16,975,12,False,0.00029587270682895905
p1b_dm_p1,dual_layer_multi_source,8,2,"{""silicon_die_lower"": 0.5, ""silicon_die_upper"": 0.5}",6.3999999999999997e-05,15625,1,0.18844211400096356,0.078521480498199792,0.18844211400096356,0.0043976304430469312,0.99560236950032688,5.6626148214888872e-11,7.1920841620254064e-16,975,12,False,0.00050630803019657833
p1b_dm_p2,dual_layer_multi_source,8,2,"{""silicon_die_lower"": 1.0, ""silicon_die_upper"": 1.0}",6.3999999999999997e-05,31250,2,0.37688422799413956,0.15704296098464995,0.18844211399706978,0.0043976304426736933,0.99560236952840331,2.8922975126022266e-11,7.3060037946175657e-16,975,12,False,0.0035429030531872741
p1b_dm_p4,dual_layer_multi_source,8,2,"{""silicon_die_lower"": 2.0, ""silicon_die_upper"": 2.0}",6.3999999999999997e-05,62500,4,0.75376845598111686,0.31408592195753526,0.18844211399527921,0.0043976304424873224,0.99560236954315751,1.4355183708403274e-11,7.3070859343073621e-16,975,12,False,0.0027611889428271752
