group_id,package_total_power_W,top_extreme_relative_field_rms,bottom_extreme_relative_field_rms,top_extreme_field_pearson,bottom_extreme_field_pearson,top_bottom_effect_cosine
p1e_g00,2.0,3.5574710839951367,0.37433602387401,0.9980020728784641,0.4072900356150196,0.8245634557693889
p1e_g00,6.0,3.5574710839164423,0.37433602387404,0.998002072874095,0.4072900356169503,0.8245634557673868
p1e_g00,10.0,3.5574710838984274,0.37433602387376247,0.9980020728727667,0.4072900356190894,0.8245634557668932
p1e_g00,14.0,3.557471083890496,0.37433602387362797,0.9980020728721304,0.40729003562069216,0.8245634557667011
p1e_g01,2.0,3.612258974455988,0.3682727075503745,0.9963765830271197,0.3854510447556857,0.8236542664006223
p1e_g01,6.0,3.612258974425759,0.3682727075501463,0.9963765830307875,0.38545104474918446,0.8236542664009768
p1e_g01,10.0,3.612258974417897,0.3682727075501322,0.9963765830308732,0.3854510447484919,0.8236542664009825
p1e_g01,14.0,3.6122589744142113,0.36827270755008296,0.9963765830308676,0.3854510447480917,0.8236542664009263
p1e_g02,2.0,3.649796061800599,0.3903338658872548,0.9955848629101176,0.39460958194752455,0.8281597383068641
p1e_g02,6.0,3.649796061736799,0.39033386588751806,0.9955848629014519,0.39460958193469325,0.8281597383050178
p1e_g02,10.0,3.6497960617239533,0.3903338658874219,0.995584862899539,0.3946095819343455,0.8281597383047501
p1e_g02,14.0,3.6497960617188925,0.39033386588734126,0.995584862898847,0.39460958193461015,0.8281597383046329
p1e_g03,2.0,3.6879890418098538,0.38389152903686513,0.99396146646623,0.30702052993463336,0.8229820585890886
p1e_g03,6.0,3.687989041780355,0.3838915290375711,0.9939614664687716,0.3070205299057424,0.8229820585886871
p1e_g03,10.0,3.6879890417691836,0.3838915290376092,0.993961466466864,0.3070205299024013,0.8229820585883793
p1e_g03,14.0,3.687989041763331,0.38389152903762,0.9939614664655231,0.30702052990121165,0.8229820585882011
p1e_g04,2.0,3.6939512905345575,0.36861907491388507,0.9924134287269817,0.32256688452031795,0.825252603087018
p1e_g04,6.0,3.6939512904870875,0.3686190749145311,0.9924134287188614,0.32256688449298415,0.8252526030857148
p1e_g04,10.0,3.6939512904747964,0.3686190749145775,0.9924134287153343,0.32256688448970977,0.8252526030853155
p1e_g04,14.0,3.693951290470057,0.36861907491455514,0.9924134287141301,0.32256688448861925,0.8252526030851783
p1e_g05,2.0,3.7410513938808094,0.38587179724989795,0.9830058868597813,0.2637924612369961,0.825603880226785
p1e_g05,6.0,3.7410513938351286,0.38587179725043275,0.9830058868373958,0.2637924611921276,0.8256038802254821
p1e_g05,10.0,3.7410513938274934,0.38587179725048937,0.9830058868346039,0.26379246118404154,0.8256038802252876
p1e_g05,14.0,3.7410513938242302,0.3858717972505067,0.9830058868332929,0.263792461181499,0.825603880225234
p1e_g06,2.0,3.7298738291712388,0.3806575751419174,0.9888595484736313,0.3422903193636063,0.8234418216648137
p1e_g06,6.0,3.7298738290979316,0.38065757514230353,0.9888595484367655,0.34229031932981124,0.8234418216622126
p1e_g06,10.0,3.729873829083515,0.3806575751423748,0.9888595484296968,0.3422903193244728,0.8234418216616655
p1e_g06,14.0,3.7298738290775475,0.38065757514240395,0.9888595484268555,0.3422903193226541,0.8234418216614637
p1e_g07,2.0,3.7301045674171647,0.375122369786351,0.9847968667403736,0.28935659550296866,0.8257633495013088
p1e_g07,6.0,3.73010456737748,0.37512236978700386,0.9847968667262746,0.2893565954630449,0.8257633495001637
p1e_g07,10.0,3.730104567367439,0.3751223697870263,0.9847968667207677,0.28935659545781955,0.8257633494998979
p1e_g07,14.0,3.7301045673634983,0.37512236978699937,0.984796866718852,0.2893565954558607,0.8257633494997931
